CF3,CF9,CF11,CF12,CF14,REV1_1,REV2_1
13706.450810019,12307.8327989601,14179.9762465957,13687.7993261533,12054.0321597755,9963.47275109351,9631.67483783115
13703.9387218915,12307.7471052414,14178.8686987434,13689.7777442956,12052.9295010747,9966.12747602513,9633.06256200397
13701.4999701863,12307.7150451346,14177.6808389234,13691.3575403727,12052.1119664596,9968.66152091098,9634.37518550725
13699.2435942426,12307.7711066866,14176.4174850672,13692.5858022233,12051.441141115,9970.90773021404,9635.62019205243
13697.2752139948,12307.9088028754,14175.2186271088,13693.5716982465,12050.7715461647,9972.7286707388,9636.79848458406
13695.6460864136,12308.0152002165,14174.2418731269,13694.3835909923,12049.9679995005,9974.13075674326,9638.01346278721
13694.3391931449,12308.0012213327,14173.522914269,13695.0807192895,12049.0239633892,9975.36209657243,9639.5147348011
13693.229446533,12307.825933584,14172.9985526316,13695.6432176274,12048.0886374269,9976.50197577277,9641.4739502924
13692.1398522889,12307.4422646247,14172.5909649343,13696.0506188802,12047.3432630346,9977.69053309901,9643.89804293246
13691.0420493796,12306.7955193662,14172.1005700872,13696.3473352616,12046.8849517941,9979.003754611,9646.65186158618
13689.9878210296,12305.8992773159,14171.2875270849,13696.6143340052,12046.7330830604,9980.27908541194,9649.47485764676
13688.9439155309,12304.7775096753,14170.0316830725,13696.8527578664,12046.8358581525,9981.37550227158,9652.11293917214
13687.9611057733,12303.479380531,14168.3932920354,13697.0558710493,12047.1003152128,9982.0447189212,9654.38093721028
13687.1037841945,12302.1691350051,14166.4417017055,13697.3103292807,12047.4693811212,9982.24172450186,9656.33565096251
13686.3038678846,12301.0018011503,14164.3260995517,13697.6293795991,12047.9119969551,9982.04246933943,9658.14711621416
13685.4880566853,12300.0570026267,14162.244237841,13697.9125508388,12048.4295424504,9981.66374089138,9659.90609049314
13684.6756162465,12299.4078579917,14160.1794121891,13698.0638188609,12049.0553200068,9981.27811009252,9661.60242721331
13683.8963907313,12299.0960395408,14158.0417151361,13698.1048167517,12049.826207483,9981.04441284014,9663.14639158163
13683.149994037,12299.0111551239,14155.8147039782,13698.0580722378,12050.7852248914,9980.87139321919,9664.39238947099
13682.4337237583,12299.0199718382,14153.4156579621,13697.8394551118,12051.9377060932,9980.61834912101,9665.19979988053
13681.7250816449,12299.032144567,14150.697486535,13697.3959510986,12053.2343823203,9979.94321962897,9665.63227408737
13680.847975334,12298.9327406646,14147.7132438335,13696.7769475848,12054.6056740322,9978.76602603632,9665.83592326139
13679.5981132561,12298.6506061776,14144.6395675676,13695.9917679108,12055.9012698413,9977.00944916345,9665.90848305448
13677.9991864363,12298.1422017363,14141.6426422555,13694.9078343648,12056.8952239127,9974.93137399003,9665.92516804195
13676.1883109446,12297.3859691725,14138.8218160682,13693.5095724619,12057.4859136313,9972.7783031947,9665.92853009558
13674.2929576432,12296.3556767598,14136.2491028295,13692.008543392,12057.7134644582,9970.8609165804,9665.83758022774
13672.5235407484,12295.0418961196,14133.9844343618,13690.4926825685,12057.6946737533,9969.39393354075,9665.68674142252
13671.0488571429,12293.40984329,14132.0638991342,13688.8324753247,12057.5482809524,9968.40445367966,9665.66807056277
13669.9132114667,12291.4305984908,14130.5114112239,13686.9978875011,12057.3903309047,9967.87523419204,9665.89008933993
13669.0115093848,12289.123076121,14129.4114307438,13684.9858381126,12057.3201129649,9967.79938303789,9666.45686435523
13668.1481970924,12286.4890511012,14128.8408030817,13682.6624214329,12057.3745764778,9968.04780012188,9667.35710977627
13667.2035177917,12283.3814329321,14128.8527372231,13680.0145294785,12057.5053375196,9968.45664050236,9668.53280830281
13666.2563818261,12279.725962429,14129.392740498,13677.2984499782,12057.6950655308,9969.00973918742,9669.91089384011
13665.4041058298,12275.5624369748,14130.3483381478,13674.6979354867,12058.003886117,9969.40971463585,9671.48221069678
13664.704373849,12270.9255174077,14131.5885332807,13672.2852674735,12058.4892984302,9969.64927431378,9673.24320135052
13664.1787590054,12265.9274565103,14132.9807248287,13670.110517923,12059.1510868037,9969.45077446846,9675.21705763486
13663.8575966024,12260.8291545639,14134.3900233254,13668.1566838307,12059.8672418801,9968.8262754159,9677.3953335974
13663.6908082011,12255.8049660494,14135.7386349206,13666.4587535273,12060.4830617284,9967.83621737213,9679.50692460317
13663.5664153194,12250.9249673116,14137.0491810231,13665.1411732485,12060.9106268222,9966.43000220868,9681.38253555968
13663.4221915383,12246.2703004957,14138.3517622588,13664.251035139,12061.1127398655,9964.70395645247,9682.87626969375
13663.3438414472,12241.9546240135,14139.6189819988,13663.7275875676,12061.0884765452,9962.81757914339,9684.0103786468
13663.4027958422,12237.9987384506,14140.8255570362,13663.4714583333,12060.9857831379,9960.87973258707,9684.88888814855
13663.5276346239,12234.4003787272,14142.0028931909,13663.3641228304,12060.9756639964,9959.10061459724,9685.54970894526
13663.6229810951,12231.15441145,14143.156766096,13663.351482076,12061.0714151953,9957.61474540753,9686.15461075442
13663.625365407,12228.2169101224,14144.243807737,13663.4168922541,12061.264743143,9956.30741266863,9686.67969266506
13663.5508686896,12225.5066192266,14145.2558865915,13663.5379802184,12061.5500465449,9955.10919978518,9687.00767588615
13663.4594211282,12222.9111662631,14146.2232763878,13663.6403609542,12061.7821428571,9953.77631423191,9686.97383642723
13663.3947165319,12220.3285606469,14147.1357255166,13663.6043643306,12061.8291221923,9952.25227807727,9686.62318823001
13663.3439035917,12217.6396034747,14147.8838612836,13663.2643190206,12061.7045818706,9950.50974390134,9686.1052331443
13663.327529311,12214.7321036255,14148.422950487,13662.4254022367,12061.4190318362,9948.47097222222,9685.52878697691
13663.3652295112,12211.5774107708,14148.8379484052,13661.0481503569,12060.9267967832,9946.249093702,9685.10460965031
13663.3616838675,12208.2614457722,14149.198666033,13659.278986511,12060.3115145754,9943.83676217636,9684.8463878327
13663.2635297052,12204.9385936508,14149.4965011338,13657.2548707483,12059.6739941043,9941.31227482993,9684.69584535147
13663.175826972,12201.8965803344,14149.7459137586,13655.063956743,12058.9634278444,9938.82615139949,9684.68149900036
13663.1696198671,12199.4281926614,14150.0563907858,13652.8562246199,12058.0823049258,9936.37661749978,9684.82809250661
13663.2883917168,12197.6040302864,14150.4574539318,13650.7068577814,12057.0254223682,9934.13940841087,9685.27466703156
13663.5743382689,12196.3936262682,14150.950670871,13648.522157024,12055.7568083356,9931.87387487433,9685.9537702221
13664.048356685,12195.6489436813,14151.5832065018,13646.18253663,12054.2176135531,9929.45643635531,9686.95168406593
13664.6743948986,12195.0742003854,14152.356060189,13643.677718598,12052.4483181943,9926.66114872925,9688.26928984311
13665.3515742784,12194.4785084574,14153.1225363118,13640.9848731384,12050.5762727523,9923.4661587608,9689.73144052216
13665.9147296675,12193.8644054527,14153.7145956526,13638.0715708759,12048.6853716496,9919.92434374137,9691.12623376623
13666.2210511259,12193.2073551126,14154.03928433,13635.075110742,12046.7707719638,9916.26928663714,9692.24497646733
13666.261443828,12192.5070402219,14153.9894882108,13632.2400929265,12044.846063338,9912.81647526584,9692.99518446602
13666.1509607189,12191.8604377432,14153.5436376691,13629.7463326848,12042.9608847508,9909.74292153048,9693.26485084306
13666.0256943284,12191.3993567251,14152.8418490671,13627.6596444816,12041.1335106284,9907.09687227328,9693.05500974659
13666.0068536086,12191.1788709077,14152.1216587612,13626.0751660156,12039.4292582775,9904.68424665179,9692.52229259673
13666.1510488305,12191.2779000093,14151.5546715124,13625.0357646072,12038.0169229336,9902.58753657628,9691.80382676358
13666.3890438842,12191.8034094304,14151.1773174603,13624.487340803,12037.0176251167,9900.74664892624,9691.08111951447
13666.5638464777,12192.7801866405,14151.00825849,13624.286708766,12036.3820296567,9899.24675320423,9690.30383338011
13666.5710372141,12194.1258830146,14151.0455535246,13624.2965007499,12036.052051931,9897.99032527184,9689.36478346457
13666.3973114492,12195.8061143984,14151.1931163708,13624.2432276698,12036.0171893491,9897.00421292383,9688.22305015497
13666.0127827969,12197.8005208922,14151.3609580275,13623.7556234707,12036.2818925278,9896.147869377,9687.00535149633
13665.3939174918,12200.1063215464,14151.6605492692,13622.7155035361,12036.8885459689,9895.26509288072,9685.79566713814
13664.6824910242,12202.8140438398,14152.2417861867,13621.2339805367,12037.8827277022,9894.26904856387,9684.83355961829
13663.9896023857,12206.0303299252,14153.1041134148,13619.3888312979,12039.2246194263,9892.99495124491,9684.3029750071
13663.2327338266,12209.7640144185,14154.1691524379,13617.3383044014,12040.7998913868,9891.65657655094,9684.23619047619
13662.4054348446,12213.9194164053,14155.4126176219,13615.2860940025,12042.4553825682,9890.4408863226,9684.45659775687
13661.574242381,12218.354712381,14156.8234742857,13613.3366228571,12043.9482661905,9889.58951714286,9684.90749761905
13660.6097308904,12222.956611795,14158.3815764863,13611.5675603588,12045.1456842256,9889.13976190476,9685.43131978242
13659.3258935743,12227.5597136164,14160.0450301205,13610.0280722892,12046.0842402945,9888.99759753299,9685.98123589597
13657.7295400977,12231.8945137492,14161.70056865,13608.7490964837,12046.7687323944,9889.17493101466,9686.55026252755
13656.0026324885,12235.8094772465,14163.323249328,13607.8420420507,12047.1681278802,9889.48169258833,9687.06766033026
13654.2163703704,12239.2651620972,14164.8480654161,13607.3760519481,12047.3807691198,9889.85744107744,9687.46619191919
13652.3769529593,12242.2009012917,14166.142295161,13607.2498563717,12047.5083608059,9890.17488673607,9687.56805909003
13650.5808152226,12244.5750709939,14167.1379508355,13607.3395870762,12047.5689795228,9890.49131507776,9687.42346517918
13648.9302521293,12246.5311295006,14167.8761503097,13607.5397217383,12047.6475024197,9890.91520373597,9686.97982336431
13647.3985360295,12248.2652220929,14168.451299583,13607.6944326448,12047.8986562894,9891.29469450102,9686.38863446805
13645.9947453839,12249.8868090379,14168.9871520894,13607.6593551992,12048.3763726919,9891.56807531584,9685.7991797862
13644.8127928718,12251.5187082481,14169.4954070503,13607.4353130782,12049.0307444737,9891.77051027364,9685.20085889571
13643.9476424668,12253.2919745316,14169.9953971507,13607.1009255465,12049.7702380952,9891.8174921936,9684.73591920375
13643.3925545126,12255.2275608683,14170.5895081647,13606.5930624817,12050.4553896548,9891.66567370686,9684.5024112643
13642.9885454635,12257.3557324123,14171.2529477758,13605.885909759,12050.9234646287,9891.25905741721,9684.45012002744
13642.5690682376,12259.7191767305,14171.8500014728,13605.059018164,12051.0886563574,9890.72868532155,9684.44498576338
13642.0643963991,12262.2448720976,14172.3513931523,13604.2207944707,12050.9951972649,9890.12757182212,9684.538815427
13641.5195405699,12264.8360504782,14172.707745736,13603.4805821749,12050.8180301686,9889.61851572513,9684.74617125111
13640.9979529737,12267.4112072713,14172.7960872357,13602.9402543964,12050.7476906738,9888.96638707766,9685.1208432128
13640.5749247599,12269.8090946441,14172.6296312246,13602.6974433224,12050.9073878824,9888.29460696961,9685.83986931987
13640.2762311508,12271.8719300595,14172.3896631944,13602.8219905754,12051.3496835318,9887.54136160715,9686.98597619048
13640.1348821951,12273.5919649071,14172.2561029923,13603.2924366239,12052.125539318,9886.75081519038,9688.75330997117
13640.0924920303,12275.0040077705,14172.336858936,13603.9514280733,12053.2066880853,9885.89427077107,9691.09011307033
13640.04360587,12276.0791214935,14172.6812868124,13604.6600009983,12054.4820300489,9884.94786463013,9693.78926025756
13639.9604991997,12276.7780692277,14173.244832433,13605.3640406163,12055.9328796519,9883.89408163265,9696.70638005202
13639.9573017544,12277.1188957393,14173.9307764411,13606.0415077694,12057.5687924812,9882.63561453634,9699.63020050125
13640.043805003,12277.1361844485,14174.5921182439,13606.6509659433,12059.2110136629,9880.96154812136,9702.42364777979
13640.0925369979,12276.9257636162,14175.1444971308,13607.0991170845,12060.7137737844,9878.92117034129,9704.90844860566
13640.0153490718,12276.6060139225,14175.6642559524,13607.2999566182,12062.1367161017,9876.71645581114,9706.94395429782
13639.8528308563,12276.1650611667,14176.2028515822,13607.1660691538,12063.5074860985,9874.6205474674,9708.5840804772
13639.7084432624,12275.4953617021,14176.7488465046,13606.6272446809,12064.7748348531,9872.79366970618,9709.82498480243
13639.5649928927,12274.5524266423,14177.4249162352,13605.7875139608,12065.9675220835,9871.32077165195,9710.81851203168
13639.3625320513,12273.310467033,14178.4123112536,13604.799722731,12067.1028535816,9869.97305555555,9711.81460927961
13639.1637141837,12271.7670215152,14179.7985566432,13603.6509737942,12068.1131635566,9868.50352554298,9713.11998368513
13639.0026961987,12270.0701578786,14181.6796888412,13602.4582382996,12068.9765808298,9866.74173615369,9714.75262671163
13638.7705099846,12268.4554592934,14184.1381228879,13601.4270056324,12069.7500343062,9864.57930517153,9716.63133384537
